disease_Gene,Cell type,P-value,Disease
STARD3NL,"cd8-positive, alpha-beta t cell",0.001696511,Abnormality_Of_The_Cardiovascular_System
TNC,"cd4-positive, alpha-beta t cell",0.001696511,Abnormality_Of_The_Cardiovascular_System
TPO,plasmacytoid dendritic cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
TRIM38,type i nk t cell,0.000848608,Abnormality_Of_The_Cardiovascular_System
TRIP13,macrophage,0.005080989,Abnormality_Of_The_Cardiovascular_System
ADAM28,non-classical monocyte,0.000848608,Adenocarcinoma_Of_Lung
ADRA2B,club cell,0.003390201,Adenocarcinoma_Of_Lung
AGER,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
AGT,bronchial smooth muscle cell,0.002543665,Adenocarcinoma_Of_Lung
AGT,vascular associated smooth muscle cell,0.002543665,Adenocarcinoma_Of_Lung
AGTR1,pericyte cell,0.000848608,Adenocarcinoma_Of_Lung
AIM2,dendritic cell,0.005080989,Adenocarcinoma_Of_Lung
AIM2,b cell,0.005080989,Adenocarcinoma_Of_Lung
AIM2,vein endothelial cell,0.005080989,Adenocarcinoma_Of_Lung
AIM2,lung microvascular endothelial cell,0.005080989,Adenocarcinoma_Of_Lung
AK5,nk cell,0.004235918,Adenocarcinoma_Of_Lung
AK5,endothelial cell of artery,0.004235918,Adenocarcinoma_Of_Lung
AKR1C2,club cell,0.001696511,Adenocarcinoma_Of_Lung
ALDH1A1,fibroblast,0.000848608,Adenocarcinoma_Of_Lung
ANG,non-classical monocyte,0.002543708,Adenocarcinoma_Of_Lung
ANG,intermediate monocyte,0.002543708,Adenocarcinoma_Of_Lung
ANGPT1,alveolar fibroblast,0.000848608,Adenocarcinoma_Of_Lung
ANXA1,fibroblast,0.000848608,Adenocarcinoma_Of_Lung
APOBEC3B,classical monocyte,0.003390201,Adenocarcinoma_Of_Lung
APOM,dendritic cell,0.003390201,Adenocarcinoma_Of_Lung
ARG1,neutrophil,0.001696511,Adenocarcinoma_Of_Lung
ARHGDIA,intermediate monocyte,0.002543708,Adenocarcinoma_Of_Lung
ATF6,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
ATOH8,nk cell,0.000848608,Adenocarcinoma_Of_Lung
ATOH8,"cd8-positive, alpha-beta t cell",0.000848608,Adenocarcinoma_Of_Lung
BCHE,mesothelial cell,0.000848608,Adenocarcinoma_Of_Lung
BPIFB1,respiratory goblet cell,0.000848608,Adenocarcinoma_Of_Lung
BTNL2,dendritic cell,2.12E-06,Adenocarcinoma_Of_Lung
CA9,vein endothelial cell,0.003390201,Adenocarcinoma_Of_Lung
CCL18,cd4-positive alpha-beta t cell,0.005080903,Adenocarcinoma_Of_Lung
CCL18,cd8-positive alpha-beta t cell,1.06E-05,Adenocarcinoma_Of_Lung
CCL18,bronchial vessel endothelial cell,0.005080903,Adenocarcinoma_Of_Lung
CCL18,vein endothelial cell,1.06E-05,Adenocarcinoma_Of_Lung
CCL18,lung microvascular endothelial cell,0.005080903,Adenocarcinoma_Of_Lung
CCL4,cd4-positive alpha-beta t cell,0.004235846,Adenocarcinoma_Of_Lung
CCL4,cd8-positive alpha-beta t cell,7.05E-06,Adenocarcinoma_Of_Lung
CCL4,vein endothelial cell,0.004235846,Adenocarcinoma_Of_Lung
CCL4L1,cd4-positive alpha-beta t cell,0.003390086,Adenocarcinoma_Of_Lung
CCL4L1,cd8-positive alpha-beta t cell,4.23E-06,Adenocarcinoma_Of_Lung
CCL4L2,cd8-positive alpha-beta t cell,0.002543622,Adenocarcinoma_Of_Lung
CCL5,bronchial vessel endothelial cell,0.003390201,Adenocarcinoma_Of_Lung
CCL5,vein endothelial cell,4.23E-06,Adenocarcinoma_Of_Lung
CCL5,lung microvascular endothelial cell,0.003390201,Adenocarcinoma_Of_Lung
CCRL2,serous cell of epithelium of bronchus,0.005080989,Adenocarcinoma_Of_Lung
CD38,nk cell,0.004235846,Adenocarcinoma_Of_Lung
CD38,"cd8-positive, alpha-beta t cell",0.004235846,Adenocarcinoma_Of_Lung
CD68,vascular associated smooth muscle cell,0.001696511,Adenocarcinoma_Of_Lung
CDCA7,capillary endothelial cell,0.000848608,Adenocarcinoma_Of_Lung
CDKN1A,basophil,0.001696511,Adenocarcinoma_Of_Lung
CDX2,classical monocyte,0.000848608,Adenocarcinoma_Of_Lung
CDX2,intermediate monocyte,0.000848608,Adenocarcinoma_Of_Lung
CEACAM21,macrophage,0.001696511,Adenocarcinoma_Of_Lung
CEACAM3,neutrophil,0.000848608,Adenocarcinoma_Of_Lung
CEACAM5,neutrophil,0.003390201,Adenocarcinoma_Of_Lung
CEACAM5,macrophage,0.003390201,Adenocarcinoma_Of_Lung
CEACAM6,neutrophil,0.000848608,Adenocarcinoma_Of_Lung
CEACAM7,macrophage,0.002543708,Adenocarcinoma_Of_Lung
CEP55,macrophage,7.06E-07,Adenocarcinoma_Of_Lung
CFB,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
CLDN10,respiratory goblet cell,0.002543665,Adenocarcinoma_Of_Lung
CLDN5,capillary aerocyte,0.003390143,Adenocarcinoma_Of_Lung
CLDN6,neutrophil,0.004235918,Adenocarcinoma_Of_Lung
CLEC10A,classical monocyte,0.002543665,Adenocarcinoma_Of_Lung
CLEC14A,endothelial cell of artery,0.001696482,Adenocarcinoma_Of_Lung
CLEC14A,capillary endothelial cell,0.001696482,Adenocarcinoma_Of_Lung
COL18A1,smooth muscle cell,0.005080989,Adenocarcinoma_Of_Lung
COL5A1,classical monocyte,0.000848608,Adenocarcinoma_Of_Lung
COL5A1,intermediate monocyte,0.000848608,Adenocarcinoma_Of_Lung
CPA3,pericyte cell,0.001696511,Adenocarcinoma_Of_Lung
CPSF4,capillary aerocyte,0.001696482,Adenocarcinoma_Of_Lung
CRABP2,plasmacytoid dendritic cell,0.003390143,Adenocarcinoma_Of_Lung
CRISP2,serous cell of epithelium of bronchus,0.002543708,Adenocarcinoma_Of_Lung
CRLS1,type i pneumocyte,0.002543708,Adenocarcinoma_Of_Lung
CRMP1,capillary aerocyte,0.000848608,Adenocarcinoma_Of_Lung
CTLA4,cd4-positive alpha-beta t cell,2.12E-06,Adenocarcinoma_Of_Lung
CTLA4,cd8-positive alpha-beta t cell,0.002543708,Adenocarcinoma_Of_Lung
CTLA4,"cd4-positive, alpha-beta t cell",0.002543708,Adenocarcinoma_Of_Lung
CTSE,b cell,0.001696511,Adenocarcinoma_Of_Lung
CTSE,club cell,0.001696511,Adenocarcinoma_Of_Lung
CYP19A1,dendritic cell,0.002543665,Adenocarcinoma_Of_Lung
CYP21A2,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
CYP2A13,macrophage,0.00423599,Adenocarcinoma_Of_Lung
CYP3A4,capillary aerocyte,0.003390201,Adenocarcinoma_Of_Lung
CYP3A5,capillary aerocyte,0.005925357,Adenocarcinoma_Of_Lung
DKK3,alveolar fibroblast,0.001696511,Adenocarcinoma_Of_Lung
DNAJB4,endothelial cell of artery,0.000848608,Adenocarcinoma_Of_Lung
ERCC2,bronchial vessel endothelial cell,0.00423599,Adenocarcinoma_Of_Lung
ERCC2,vein endothelial cell,0.00423599,Adenocarcinoma_Of_Lung
EYA4,pericyte cell,0.001696482,Adenocarcinoma_Of_Lung
F11R,type i pneumocyte,0.003390201,Adenocarcinoma_Of_Lung
FABP4,macrophage,0.004235918,Adenocarcinoma_Of_Lung
FBXW11,bronchial vessel endothelial cell,0.001696511,Adenocarcinoma_Of_Lung
FCER1G,dendritic cell,0.005080989,Adenocarcinoma_Of_Lung
FERMT1,type i pneumocyte,0.002543708,Adenocarcinoma_Of_Lung
FGA,type ii pneumocyte,0.001696511,Adenocarcinoma_Of_Lung
FLT3,classical monocyte,0.001696511,Adenocarcinoma_Of_Lung
FLT3,intermediate monocyte,0.001696511,Adenocarcinoma_Of_Lung
FLT4,capillary aerocyte,0.002543708,Adenocarcinoma_Of_Lung
FLT4,endothelial cell of lymphatic vessel,0.002543708,Adenocarcinoma_Of_Lung
FOXP4,type ii pneumocyte,0.002543708,Adenocarcinoma_Of_Lung
FRZB,bronchial smooth muscle cell,0.000848608,Adenocarcinoma_Of_Lung
FRZB,vascular associated smooth muscle cell,0.000848608,Adenocarcinoma_Of_Lung
GIPC2,endothelial cell of artery,0.000848608,Adenocarcinoma_Of_Lung
GLB1,bronchial smooth muscle cell,0.001696511,Adenocarcinoma_Of_Lung
GPHN,dendritic cell,0.000848608,Adenocarcinoma_Of_Lung
GPR42,b cell,0.004235918,Adenocarcinoma_Of_Lung
GRP,vascular associated smooth muscle cell,0.001696511,Adenocarcinoma_Of_Lung
GSTM1,alveolar fibroblast,0.002543708,Adenocarcinoma_Of_Lung
GSTM2,alveolar fibroblast,0.002543708,Adenocarcinoma_Of_Lung
GSTM4,alveolar fibroblast,0.002543708,Adenocarcinoma_Of_Lung
GZMB,"cd8-positive, alpha-beta t cell",0.002543708,Adenocarcinoma_Of_Lung
HDGF,capillary aerocyte,0.003390143,Adenocarcinoma_Of_Lung
HDGF,plasmacytoid dendritic cell,0.003390143,Adenocarcinoma_Of_Lung
HLA-DQA1,dendritic cell,2.12E-06,Adenocarcinoma_Of_Lung
HLA-DQA2,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
HLA-DQB1,dendritic cell,2.12E-06,Adenocarcinoma_Of_Lung
HP,mesothelial cell,0.002543708,Adenocarcinoma_Of_Lung
HSPA1A,dendritic cell,0.003390201,Adenocarcinoma_Of_Lung
HSPA1B,dendritic cell,0.003390201,Adenocarcinoma_Of_Lung
HSPB1,type i pneumocyte,0.003390201,Adenocarcinoma_Of_Lung
HSPB1,club cell,0.003390201,Adenocarcinoma_Of_Lung
HSPB1,mesothelial cell,0.003390201,Adenocarcinoma_Of_Lung
HSPD1,vein endothelial cell,0.001696511,Adenocarcinoma_Of_Lung
ICOS,cd4-positive alpha-beta t cell,0.000848608,Adenocarcinoma_Of_Lung
ICOS,cd8-positive alpha-beta t cell,0.000848608,Adenocarcinoma_Of_Lung
ICOS,"cd4-positive, alpha-beta t cell",0.000848608,Adenocarcinoma_Of_Lung
ID1,endothelial cell of lymphatic vessel,0.002543708,Adenocarcinoma_Of_Lung
ID1,pericyte cell,0.002543708,Adenocarcinoma_Of_Lung
IFNG,plasma cell,0.001696511,Adenocarcinoma_Of_Lung
IL11,lung ciliated cell,0.002543708,Adenocarcinoma_Of_Lung
IL12RB2,lung ciliated cell,0.002543665,Adenocarcinoma_Of_Lung
IL23R,lung ciliated cell,0.001696482,Adenocarcinoma_Of_Lung
IL32,neutrophil,0.003390143,Adenocarcinoma_Of_Lung
INSRR,capillary aerocyte,0.003390143,Adenocarcinoma_Of_Lung
IRF4,cd4-positive alpha-beta t cell,0.003390143,Adenocarcinoma_Of_Lung
IRF4,cd8-positive alpha-beta t cell,0.003390143,Adenocarcinoma_Of_Lung
IRF4,dendritic cell,0.003390143,Adenocarcinoma_Of_Lung
ISYNA1,non-classical monocyte,0.003390201,Adenocarcinoma_Of_Lung
ITPKA,capillary endothelial cell,0.001696511,Adenocarcinoma_Of_Lung
ITPKA,capillary aerocyte,0.001696511,Adenocarcinoma_Of_Lung
KCNH1,pulmonary ionocyte,0.001696511,Adenocarcinoma_Of_Lung
KLK5,club cell,4.23E-06,Adenocarcinoma_Of_Lung
KLK5,mesothelial cell,4.23E-06,Adenocarcinoma_Of_Lung
KRT19,neutrophil,0.003390143,Adenocarcinoma_Of_Lung
KRT20,neutrophil,0.002543708,Adenocarcinoma_Of_Lung
KSR2,endothelial cell of artery,0.004235918,Adenocarcinoma_Of_Lung
KSR2,vein endothelial cell,0.004235918,Adenocarcinoma_Of_Lung
LAMA2,alveolar fibroblast,0.001696482,Adenocarcinoma_Of_Lung
LGALS1,classical monocyte,0.00423599,Adenocarcinoma_Of_Lung
LGALS1,dendritic cell,0.00423599,Adenocarcinoma_Of_Lung
LILRB1,nk cell,7.05E-06,Adenocarcinoma_Of_Lung
LRP12,macrophage,0.002543708,Adenocarcinoma_Of_Lung
LTA,dendritic cell,0.00423599,Adenocarcinoma_Of_Lung
MCM8,type i pneumocyte,0.002543708,Adenocarcinoma_Of_Lung
MMP1,basal cell,0.003390201,Adenocarcinoma_Of_Lung
MMP10,basal cell,0.002543708,Adenocarcinoma_Of_Lung
MMRN1,vein endothelial cell,0.000848608,Adenocarcinoma_Of_Lung
MMRN1,endothelial cell of lymphatic vessel,0.000848608,Adenocarcinoma_Of_Lung
MMRN1,lung microvascular endothelial cell,0.000848608,Adenocarcinoma_Of_Lung
MORF4L1,type ii pneumocyte,0.001696511,Adenocarcinoma_Of_Lung
MSLN,club cell,0.003390143,Adenocarcinoma_Of_Lung
MT1G,capillary endothelial cell,0.003390201,Adenocarcinoma_Of_Lung
MTA1,plasma cell,1.48E-05,Adenocarcinoma_Of_Lung
MUC5AC,respiratory goblet cell,0.006768679,Adenocarcinoma_Of_Lung
MUC5B,respiratory goblet cell,0.001696511,Adenocarcinoma_Of_Lung
MYBPH,macrophage,0.002543708,Adenocarcinoma_Of_Lung
MYLK2,pericyte cell,0.001696511,Adenocarcinoma_Of_Lung
NCOR2,mesothelial cell,0.003390086,Adenocarcinoma_Of_Lung
NES,plasmacytoid dendritic cell,0.000848608,Adenocarcinoma_Of_Lung
NOTCH4,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
NRG1,classical monocyte,0.000848608,Adenocarcinoma_Of_Lung
NRG1,intermediate monocyte,0.000848608,Adenocarcinoma_Of_Lung
NTS,club cell,0.000848608,Adenocarcinoma_Of_Lung
ORM1,type ii pneumocyte,0.001696511,Adenocarcinoma_Of_Lung
PDC,mesothelial cell,0.003390029,Adenocarcinoma_Of_Lung
PDC,fibroblast,0.003390029,Adenocarcinoma_Of_Lung
PDPN,myofibroblast cell,0.001696511,Adenocarcinoma_Of_Lung
PITX2,alveolar fibroblast,0.000848608,Adenocarcinoma_Of_Lung
PITX2,fibroblast,0.000848608,Adenocarcinoma_Of_Lung
PKP2,intermediate monocyte,0.002543665,Adenocarcinoma_Of_Lung
PLEK2,dendritic cell,0.001696511,Adenocarcinoma_Of_Lung
PLK2,vein endothelial cell,0.000848608,Adenocarcinoma_Of_Lung
PLK2,lung microvascular endothelial cell,0.000848608,Adenocarcinoma_Of_Lung
PMEPA1,mesothelial cell,0.002543665,Adenocarcinoma_Of_Lung
POSTN,smooth muscle cell,0.000848608,Adenocarcinoma_Of_Lung
PPP1R17,capillary aerocyte,0.003390201,Adenocarcinoma_Of_Lung
PRKAA1,vein endothelial cell,0.002543708,Adenocarcinoma_Of_Lung
PROM1,nk cell,0.001696511,Adenocarcinoma_Of_Lung
PROM1,"cd8-positive, alpha-beta t cell",0.001696511,Adenocarcinoma_Of_Lung
PRPF19,type i pneumocyte,0.001696511,Adenocarcinoma_Of_Lung
PRPF19,club cell,0.001696511,Adenocarcinoma_Of_Lung
PTGS2,mesothelial cell,0.003390029,Adenocarcinoma_Of_Lung
PTGS2,fibroblast,0.003390029,Adenocarcinoma_Of_Lung
PTN,capillary aerocyte,0.000848608,Adenocarcinoma_Of_Lung
PTPRC,cd4-positive alpha-beta t cell,0.000848608,Adenocarcinoma_Of_Lung
PTPRC,cd8-positive alpha-beta t cell,0.000848608,Adenocarcinoma_Of_Lung
PTPRH,classical monocyte,0.002543708,Adenocarcinoma_Of_Lung
PTPRH,intermediate monocyte,0.002543708,Adenocarcinoma_Of_Lung
PTRH2,dendritic cell,0.004235918,Adenocarcinoma_Of_Lung
RASGRF1,type ii pneumocyte,0.001696511,Adenocarcinoma_Of_Lung
RDM1,bronchial vessel endothelial cell,0.003390201,Adenocarcinoma_Of_Lung
RDM1,vein endothelial cell,4.23E-06,Adenocarcinoma_Of_Lung
RDM1,lung microvascular endothelial cell,0.003390201,Adenocarcinoma_Of_Lung
RNLS,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
RPS19,neutrophil,0.000848608,Adenocarcinoma_Of_Lung
RPS6KB1,dendritic cell,0.003390143,Adenocarcinoma_Of_Lung
RRM2,club cell,0.002543665,Adenocarcinoma_Of_Lung
S100A4,serous cell of epithelium of bronchus,0.001696482,Adenocarcinoma_Of_Lung
S100A7,classical monocyte,0.002543708,Adenocarcinoma_Of_Lung
S100A7A,classical monocyte,0.002543708,Adenocarcinoma_Of_Lung
S100A8,classical monocyte,0.001696511,Adenocarcinoma_Of_Lung
S100A9,classical monocyte,0.001696511,Adenocarcinoma_Of_Lung
S100P,neutrophil,0.003390143,Adenocarcinoma_Of_Lung
SAMHD1,smooth muscle cell,0.002543665,Adenocarcinoma_Of_Lung
SCGB3A2,club cell,0.002543708,Adenocarcinoma_Of_Lung
SFTPB,nk cell,0.001696511,Adenocarcinoma_Of_Lung
SFTPB,"cd8-positive, alpha-beta t cell",0.001696511,Adenocarcinoma_Of_Lung
SLC19A1,smooth muscle cell,0.002543665,Adenocarcinoma_Of_Lung
SNCA,vein endothelial cell,0.000848608,Adenocarcinoma_Of_Lung
SNCA,endothelial cell of lymphatic vessel,0.000848608,Adenocarcinoma_Of_Lung
SNCA,lung microvascular endothelial cell,0.000848608,Adenocarcinoma_Of_Lung
SOX6,vein endothelial cell,0.002543708,Adenocarcinoma_Of_Lung
SPINK1,club cell,0.002543708,Adenocarcinoma_Of_Lung
STK19,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
SUB1,endothelial cell of artery,0.000848608,Adenocarcinoma_Of_Lung
TCF21,alveolar fibroblast,0.001696511,Adenocarcinoma_Of_Lung
TCF21,pericyte cell,0.001696511,Adenocarcinoma_Of_Lung
TF,respiratory goblet cell,0.002543665,Adenocarcinoma_Of_Lung
TFEB,type ii pneumocyte,0.003390201,Adenocarcinoma_Of_Lung
THY1,adventitial cell,0.000848608,Adenocarcinoma_Of_Lung
TNF,dendritic cell,0.00423599,Adenocarcinoma_Of_Lung
TNFRSF10B,neutrophil,0.002543665,Adenocarcinoma_Of_Lung
TNXB,dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
TP53,vascular associated smooth muscle cell,0.000848608,Adenocarcinoma_Of_Lung
TP63,basal cell,0.000848608,Adenocarcinoma_Of_Lung
TPX2,pericyte cell,0.001696511,Adenocarcinoma_Of_Lung
TRAF2,plasmacytoid dendritic cell,0.002543708,Adenocarcinoma_Of_Lung
UBE2I,basophil,2.12E-06,Adenocarcinoma_Of_Lung
UBE2S,lung ciliated cell,0.003390201,Adenocarcinoma_Of_Lung
USF2,b cell,0.005080989,Adenocarcinoma_Of_Lung
VAV1,classical monocyte,0.002543708,Adenocarcinoma_Of_Lung
VAV1,non-classical monocyte,0.002543708,Adenocarcinoma_Of_Lung
VAV1,intermediate monocyte,0.002543708,Adenocarcinoma_Of_Lung
VMP1,dendritic cell,0.004235918,Adenocarcinoma_Of_Lung
VWF,vein endothelial cell,0.001696482,Adenocarcinoma_Of_Lung
WNT7A,type i pneumocyte,0.003390143,Adenocarcinoma_Of_Lung
YWHAG,type i pneumocyte,0.004235918,Adenocarcinoma_Of_Lung
YWHAG,club cell,0.004235918,Adenocarcinoma_Of_Lung
YWHAG,mesothelial cell,0.004235918,Adenocarcinoma_Of_Lung
ABCB11,neutrophil,0.001696482,Afibrinogenemia
AGER,dendritic cell,0.002543708,Ali
C3,b cell,0.002543708,Ali
CCL4,cd4-positive alpha-beta t cell,0.004235846,Ali
CCL4,cd8-positive alpha-beta t cell,7.05E-06,Ali
CCL4,vein endothelial cell,0.004235846,Ali
FCGR2A,dendritic cell,0.002543665,Ali
FCGR2B,dendritic cell,0.001696511,Ali
FGA,type ii pneumocyte,0.001696511,Ali
IFNG,plasma cell,0.001696511,Ali
IL1RL1,capillary aerocyte,0.000848608,Ali
PTGS2,mesothelial cell,0.003390029,Ali
PTGS2,fibroblast,0.003390029,Ali
TNF,dendritic cell,0.00423599,Ali
ACTN4,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.002543665,Anemia
ADIPOQ,type i nk t cell,0.002543708,Anemia
AHR,classical monocyte,0.001696482,Anemia
AHSP,"naive thymus-derived cd4-positive, alpha-beta t cell",0.000848608,Anemia
AIRE,naive b cell,0.003390086,Anemia
ALX4,monocyte,0.001696511,Anemia
APOH,"naive thymus-derived cd4-positive, alpha-beta t cell",0.000848608,Anemia
ATOH8,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.003390143,Anemia
B2M,"cd8-positive, alpha-beta t cell",0.001696511,Anemia
BACH2,"cd4-positive, alpha-beta memory t cell",0.000848608,Anemia
BMP6,plasma cell,0.002543708,Anemia
CAV1,platelet,0.001696511,Anemia
CCR7,neutrophil,0.005925357,Anemia
CCR7,basophil,0.005925357,Anemia
CD274,"cd8-positive, alpha-beta t cell",0.003390201,Anemia
CD5L,naive b cell,0.001696511,Anemia
CHI3L1,neutrophil,0.00423599,Anemia
CLCN7,"cd4-positive, alpha-beta t cell",0.002543708,Anemia
CTLA4,"cd4-positive, alpha-beta memory t cell",0.000848608,Anemia
CYP2C8,"naive thymus-derived cd4-positive, alpha-beta t cell",0.001696511,Anemia
DCLRE1C,neutrophil,0.001696511,Anemia
DNLZ,macrophage,0.002543708,Anemia
E2F2,"cd4-positive, alpha-beta t cell",0.003390201,Anemia
EGR1,plasma cell,0.005925457,Anemia
ENG,"cd8-positive, alpha-beta t cell",0.004235918,Anemia
ENPP1,neutrophil,0.000848608,Anemia
ERCC1,erythrocyte,0.005925457,Anemia
EWSR1,neutrophil,0.005925357,Anemia
EXT2,monocyte,0.001696511,Anemia
FANCC,type i nk t cell,0.002543708,Anemia
FAS,"cd4-positive, alpha-beta memory t cell",0.001696511,Anemia
FCGR2A,memory b cell,0.004235846,Anemia
FCGR2B,memory b cell,0.001696511,Anemia
FCGR3A,memory b cell,0.001696511,Anemia
FCGR3B,memory b cell,0.002543708,Anemia
FECH,erythrocyte,0.002543708,Anemia
FOXP1,neutrophil,0.000848608,Anemia
GLRX5,erythrocyte,0.002543665,Anemia
GNLY,"cd8-positive, alpha-beta cytokine secreting effector t cell",0.004235918,Anemia
GPT,nampt neutrophil,0.002543708,Anemia
HAMP,"cd8-positive, alpha-beta t cell",0.003390201,Anemia
HFE,type i nk t cell,0.002543708,Anemia
HPGD,nampt neutrophil,0.001696482,Anemia
IFT140,"cd4-positive, alpha-beta t cell",0.002543708,Anemia
IL13,type i nk t cell,0.003390143,Anemia
IL4,type i nk t cell,0.003390143,Anemia
ITGA2B,erythrocyte,2.12E-06,Anemia
KLK4,memory b cell,0.00423599,Anemia
KRT14,neutrophil,0.003390143,Anemia
KRT20,neutrophil,0.000848608,Anemia
LAIR1,monocyte,0.003390086,Anemia
LAMC2,classical monocyte,0.000848608,Anemia
LCN2,monocyte,0.003390201,Anemia
LTF,classical monocyte,0.004235918,Anemia
LYRM7,"cd8-positive, alpha-beta t cell",0.003390201,Anemia
MT1E,monocyte,0.00423599,Anemia
NCOA5,memory b cell,0.005081075,Anemia
NDUFS2,nampt neutrophil,0.006769023,Anemia
NDUFS3,plasmacytoid dendritic cell,0.002543708,Anemia
NDUFS3,basophil,0.002543708,Anemia
NDUFS8,monocyte,0.003390086,Anemia
NR1I3,nampt neutrophil,0.002543708,Anemia
NUMA1,monocyte,0.002543665,Anemia
NUMA1,nampt neutrophil,0.002543665,Anemia
OAS1,neutrophil,0.002543708,Anemia
P2RY12,naive b cell,0.003390201,Anemia
