disease_Gene,Cell type,P-value,Disease
HIST1H1T,Multilymphoid progenitor cell,0.017220477,Abnormality_Of_The_Cardiovascular_System
HIST1H2BC,Multilymphoid progenitor cell,0.017220477,Abnormality_Of_The_Cardiovascular_System
HIST1H2AC,Multilymphoid progenitor cell,0.017220477,Abnormality_Of_The_Cardiovascular_System
VARS,Neutrophil,0.003192851,Abnormality_Of_The_Cardiovascular_System
VARS,CD8+ T cell,0.001240518,Abnormality_Of_The_Cardiovascular_System
VARS,Dendritic cell,0.043597741,Abnormality_Of_The_Cardiovascular_System
VARS,Classical monocyte,1.97E-05,Abnormality_Of_The_Cardiovascular_System
VARS,Myeloid cell,0.044719382,Abnormality_Of_The_Cardiovascular_System
VARS,CD141+CLEC9A+ dendritic cell,0.006963381,Abnormality_Of_The_Cardiovascular_System
VARS,Multilymphoid progenitor cell,0.005342358,Abnormality_Of_The_Cardiovascular_System
VARS,Natural killer T(NKT) cell,0.015131035,Abnormality_Of_The_Cardiovascular_System
VARS,Immature B cell,0.013975164,Abnormality_Of_The_Cardiovascular_System
VARS,Mucosa-associated invariant T (MAIT) cell,0.012817956,Abnormality_Of_The_Cardiovascular_System
VARS,Stem cell,0.012817956,Abnormality_Of_The_Cardiovascular_System
VARS,Natural regulatory T cell,0.012817956,Abnormality_Of_The_Cardiovascular_System
VARS,Conventional dendritic cell 2(cDC2),1.35E-05,Abnormality_Of_The_Cardiovascular_System
VARS,CD8+ mucosal-associated invariant T cell(CD8+ MAIT),0.01165941,Abnormality_Of_The_Cardiovascular_System
LSM2,Neutrophil,0.003102715,Abnormality_Of_The_Cardiovascular_System
LSM2,CD8+ T cell,0.001205132,Abnormality_Of_The_Cardiovascular_System
LSM2,Dendritic cell,0.042979311,Abnormality_Of_The_Cardiovascular_System
LSM2,Classical monocyte,1.89E-05,Abnormality_Of_The_Cardiovascular_System
LSM2,Myeloid cell,0.044085411,Abnormality_Of_The_Cardiovascular_System
LSM2,CD141+CLEC9A+ dendritic cell,0.006769444,Abnormality_Of_The_Cardiovascular_System
LSM2,Multilymphoid progenitor cell,0.005072555,Abnormality_Of_The_Cardiovascular_System
LSM2,Natural killer T(NKT) cell,0.014913262,Abnormality_Of_The_Cardiovascular_System
LSM2,Immature B cell,0.01377391,Abnormality_Of_The_Cardiovascular_System
LSM2,Mucosa-associated invariant T (MAIT) cell,0.01263326,Abnormality_Of_The_Cardiovascular_System
LSM2,Natural regulatory T cell,0.01263326,Abnormality_Of_The_Cardiovascular_System
LSM2,Conventional dendritic cell 2(cDC2),1.31E-05,Abnormality_Of_The_Cardiovascular_System
LSM2,CD8+ mucosal-associated invariant T cell(CD8+ MAIT),0.01149131,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Neutrophil,0.003102715,Abnormality_Of_The_Cardiovascular_System
HSPA1L,CD8+ T cell,0.001205132,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Dendritic cell,0.042979311,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Classical monocyte,1.89E-05,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Myeloid cell,0.044085411,Abnormality_Of_The_Cardiovascular_System
HSPA1L,CD141+CLEC9A+ dendritic cell,0.006769444,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Multilymphoid progenitor cell,0.005072555,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Natural killer T(NKT) cell,0.014913262,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Immature B cell,0.01377391,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Mucosa-associated invariant T (MAIT) cell,0.01263326,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Natural regulatory T cell,0.01263326,Abnormality_Of_The_Cardiovascular_System
HSPA1L,Conventional dendritic cell 2(cDC2),1.31E-05,Abnormality_Of_The_Cardiovascular_System
HSPA1L,CD8+ mucosal-associated invariant T cell(CD8+ MAIT),0.01149131,Abnormality_Of_The_Cardiovascular_System
C6orf106,Cancer cell,0.004983717,Abnormality_Of_The_Cardiovascular_System
SNRPC,Cancer cell,0.004983717,Abnormality_Of_The_Cardiovascular_System
UHRF1BP1,Cancer cell,0.004983717,Abnormality_Of_The_Cardiovascular_System
AKAP7,M2 macrophage,0.000764214,Abnormality_Of_The_Cardiovascular_System
AKAP7,Multilymphoid progenitor cell,0.030056966,Abnormality_Of_The_Cardiovascular_System
AKAP7,Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell,0.000407629,Abnormality_Of_The_Cardiovascular_System
AKAP7,Immunosuppressive neutrophil,0.000101918,Abnormality_Of_The_Cardiovascular_System
SLC22A3,Monocyte,0.00359776,Abnormality_Of_The_Cardiovascular_System
SLC22A3,CD1C-CD141- dendritic cell,0.011078089,Abnormality_Of_The_Cardiovascular_System
SLC22A3,Mature neutrophil,0.000339706,Abnormality_Of_The_Cardiovascular_System
LPA,Monocyte,0.00359776,Abnormality_Of_The_Cardiovascular_System
LPA,CD1C-CD141- dendritic cell,0.011078089,Abnormality_Of_The_Cardiovascular_System
LPA,Mature neutrophil,0.000339706,Abnormality_Of_The_Cardiovascular_System
C7orf50,AXL+SIGLEC6+ dendritic cell,0.013841662,Abnormality_Of_The_Cardiovascular_System
C7orf50,Multilymphoid progenitor cell,0.004360398,Abnormality_Of_The_Cardiovascular_System
GPER1,AXL+SIGLEC6+ dendritic cell,0.009709155,Abnormality_Of_The_Cardiovascular_System
GPER1,Multilymphoid progenitor cell,0.00207625,Abnormality_Of_The_Cardiovascular_System
DNAH11,Plasmacytoid dendritic cell,0.011921691,Abnormality_Of_The_Cardiovascular_System
STARD3NL,T cell,0.026767026,Abnormality_Of_The_Cardiovascular_System
STARD3NL,Cytotoxic CD8+ T cell,0.003561612,Abnormality_Of_The_Cardiovascular_System
STARD3NL,Natural killer cell,0.000395581,Abnormality_Of_The_Cardiovascular_System
STARD3NL,Granulocyte-monocyte progenitor,0.000815861,Abnormality_Of_The_Cardiovascular_System
STARD3NL,Mucosa-associated invariant T (MAIT) cell,0.003917108,Abnormality_Of_The_Cardiovascular_System
STARD3NL,Memory CD8+ T cell,0.005337885,Abnormality_Of_The_Cardiovascular_System
STARD3NL,Gamma delta(γδ) T cell,3.78E-08,Abnormality_Of_The_Cardiovascular_System
CD36,Platelet,0.001884358,Abnormality_Of_The_Cardiovascular_System
CD36,Monocyte,0.005391829,Abnormality_Of_The_Cardiovascular_System
CD36,Macrophage,0.00208793,Abnormality_Of_The_Cardiovascular_System
CD36,M2 macrophage,0.000764214,Abnormality_Of_The_Cardiovascular_System
CD36,CD1C+_B dendritic cell,0.002851032,Abnormality_Of_The_Cardiovascular_System
CD36,Multilymphoid progenitor cell,0.030056966,Abnormality_Of_The_Cardiovascular_System
CD36,CD16+ monocyte,0.000764214,Abnormality_Of_The_Cardiovascular_System
CD36,Progenitor cell,0.000662342,Abnormality_Of_The_Cardiovascular_System
CD36,Conventional dendritic cell 2-B (cDC2-B),0.000152874,Abnormality_Of_The_Cardiovascular_System
CD36,Low-density neutrophil,0.000203829,Abnormality_Of_The_Cardiovascular_System
ASPH,Plasmacytoid dendritic cell,0.011921691,Abnormality_Of_The_Cardiovascular_System
SLC45A4,CD1C-CD141- dendritic cell,0.000842282,Abnormality_Of_The_Cardiovascular_System
KANK1,Plasmacytoid dendritic cell,0.011921691,Abnormality_Of_The_Cardiovascular_System
ADAMTSL1,CD1C-CD141- dendritic cell,0.011078089,Abnormality_Of_The_Cardiovascular_System
TNC,T cell,0.002580316,Abnormality_Of_The_Cardiovascular_System
TNC,Naive CD8+ T cell,0.00383525,Abnormality_Of_The_Cardiovascular_System
ASTN2,M1 macrophage,0.000441606,Abnormality_Of_The_Cardiovascular_System
ASTN2,CD1C-CD141- dendritic cell,0.011078089,Abnormality_Of_The_Cardiovascular_System
ASTN2,Granulocyte-monocyte progenitor,0.004004713,Abnormality_Of_The_Cardiovascular_System
DBH,CD8+ T cell,0.005964012,Abnormality_Of_The_Cardiovascular_System
SLC34A3,Plasmacytoid dendritic cell,0.003554563,Abnormality_Of_The_Cardiovascular_System
TUBB4B,Plasmacytoid dendritic cell,0.003554563,Abnormality_Of_The_Cardiovascular_System
FAM166A,Plasmacytoid dendritic cell,0.00309291,Abnormality_Of_The_Cardiovascular_System
CUBN,Plasmacytoid dendritic cell,0.023701653,Abnormality_Of_The_Cardiovascular_System
CUBN,Multilymphoid progenitor cell,0.03987417,Abnormality_Of_The_Cardiovascular_System
MPP7,CD1C+_B dendritic cell,0.000951232,Abnormality_Of_The_Cardiovascular_System
AP2A2,Platelet,0.009386982,Abnormality_Of_The_Cardiovascular_System
MUC6,Platelet,0.003138623,Abnormality_Of_The_Cardiovascular_System
PIK3C2A,Plasmacytoid dendritic cell,0.029538517,Abnormality_Of_The_Cardiovascular_System
PIK3C2A,Granulocyte-monocyte progenitor,0.009981817,Abnormality_Of_The_Cardiovascular_System
NUCB2,Plasmacytoid dendritic cell,0.023701254,Abnormality_Of_The_Cardiovascular_System
NUCB2,Granulocyte-monocyte progenitor,0.007993389,Abnormality_Of_The_Cardiovascular_System
MS4A6A,Plasmacytoid dendritic cell,0.023701254,Abnormality_Of_The_Cardiovascular_System
MS4A6A,Myeloid cell,0.002647297,Abnormality_Of_The_Cardiovascular_System
MS4A6A,M2 macrophage,0.001018814,Abnormality_Of_The_Cardiovascular_System
MS4A6A,CD1C-CD141- dendritic cell,0.022033453,Abnormality_Of_The_Cardiovascular_System
MS4A6A,Monocyte precursor,0.000339691,Abnormality_Of_The_Cardiovascular_System
MS4A2,Plasmacytoid dendritic cell,0.029538517,Abnormality_Of_The_Cardiovascular_System
MS4A2,Myeloid cell,0.003308053,Abnormality_Of_The_Cardiovascular_System
MS4A2,M2 macrophage,0.001273366,Abnormality_Of_The_Cardiovascular_System
MS4A2,CD1C-CD141- dendritic cell,0.02746577,Abnormality_Of_The_Cardiovascular_System
MS4A2,Monocyte precursor,0.0004246,Abnormality_Of_The_Cardiovascular_System
MS4A4E,Plasmacytoid dendritic cell,0.023701653,Abnormality_Of_The_Cardiovascular_System
MS4A4E,Myeloid cell,0.002647342,Abnormality_Of_The_Cardiovascular_System
MS4A4E,M2 macrophage,0.001018831,Abnormality_Of_The_Cardiovascular_System
MS4A4E,CD1C-CD141- dendritic cell,0.022033824,Abnormality_Of_The_Cardiovascular_System
MS4A4E,Monocyte precursor,0.000339697,Abnormality_Of_The_Cardiovascular_System
ATG2A,Monocyte,0.021394772,Abnormality_Of_The_Cardiovascular_System
ATG2A,AXL+SIGLEC6+ dendritic cell,0.016587477,Abnormality_Of_The_Cardiovascular_System
ATG2A,CD4+ recently activated effector memory or effector T cell (CTL),0.002443514,Abnormality_Of_The_Cardiovascular_System
PPP2R5B,Monocyte,0.026671782,Abnormality_Of_The_Cardiovascular_System
PPP2R5B,AXL+SIGLEC6+ dendritic cell,0.020691349,Abnormality_Of_The_Cardiovascular_System
PPP2R5B,CD4+ recently activated effector memory or effector T cell (CTL),0.003053485,Abnormality_Of_The_Cardiovascular_System
GSTP1,Multilymphoid progenitor cell,0.000160199,Abnormality_Of_The_Cardiovascular_System
NDUFV1,Multilymphoid progenitor cell,0.000160199,Abnormality_Of_The_Cardiovascular_System
NUDT8,Multilymphoid progenitor cell,0.000345479,Abnormality_Of_The_Cardiovascular_System
TBX10,Multilymphoid progenitor cell,0.000345479,Abnormality_Of_The_Cardiovascular_System
YAP1,Regulatory T (Treg) cell,0.001867667,Abnormality_Of_The_Cardiovascular_System
YAP1,CAR-T cell,0.000271769,Abnormality_Of_The_Cardiovascular_System
RP11-315O6.2,Regulatory T (Treg) cell,0.002800168,Abnormality_Of_The_Cardiovascular_System
RP11-315O6.2,Naive CD8+ T cell,0.005747307,Abnormality_Of_The_Cardiovascular_System
RP11-315O6.2,CAR-T cell,0.000407623,Abnormality_Of_The_Cardiovascular_System
MMP20,Neutrophil,0.00361378,Abnormality_Of_The_Cardiovascular_System
MMP20,Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell,0.000407623,Abnormality_Of_The_Cardiovascular_System
MMP1,Neutrophil,0.004815509,Abnormality_Of_The_Cardiovascular_System
MMP1,Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell,0.000543464,Abnormality_Of_The_Cardiovascular_System
MMP3,Neutrophil,0.004815509,Abnormality_Of_The_Cardiovascular_System
MMP3,Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell,0.000543464,Abnormality_Of_The_Cardiovascular_System
DYNC2H1,Neutrophil,0.001206047,Abnormality_Of_The_Cardiovascular_System
DYNC2H1,Polymorphonuclear myeloid-derived suppressor(PMN-MDSC) cell,0.000135893,Abnormality_Of_The_Cardiovascular_System
CASP4,CD1C-CD141- dendritic cell,0.032868004,Abnormality_Of_The_Cardiovascular_System
CASP5,CD1C-CD141- dendritic cell,0.000634104,Abnormality_Of_The_Cardiovascular_System
CASP1,CD1C-CD141- dendritic cell,0.000634104,Abnormality_Of_The_Cardiovascular_System
CARD16,CD1C-CD141- dendritic cell,0.000634104,Abnormality_Of_The_Cardiovascular_System
BUD13,CD1C-CD141- dendritic cell,0.000842339,Abnormality_Of_The_Cardiovascular_System
BUD13,Smooth muscle cell,0.00027176,Abnormality_Of_The_Cardiovascular_System
ZNF259,CD1C-CD141- dendritic cell,0.000842339,Abnormality_Of_The_Cardiovascular_System
ZNF259,Smooth muscle cell,0.00027176,Abnormality_Of_The_Cardiovascular_System
APOA5,CD1C-CD141- dendritic cell,0.000842339,Abnormality_Of_The_Cardiovascular_System
APOA5,Smooth muscle cell,0.00027176,Abnormality_Of_The_Cardiovascular_System
TAGLN,Regulatory T (Treg) cell,0.009303832,Abnormality_Of_The_Cardiovascular_System
TAGLN,CD1C-CD141- dendritic cell,0.001343842,Abnormality_Of_The_Cardiovascular_System
TAGLN,Smooth muscle cell,0.000339694,Abnormality_Of_The_Cardiovascular_System
PCSK7,Regulatory T (Treg) cell,0.009303832,Abnormality_Of_The_Cardiovascular_System
PCSK7,CD1C-CD141- dendritic cell,0.001343842,Abnormality_Of_The_Cardiovascular_System
PCSK7,Smooth muscle cell,0.000339694,Abnormality_Of_The_Cardiovascular_System
RNF214,Regulatory T (Treg) cell,0.009303832,Abnormality_Of_The_Cardiovascular_System
RNF214,CD1C-CD141- dendritic cell,0.001343842,Abnormality_Of_The_Cardiovascular_System
RNF214,Smooth muscle cell,0.000339694,Abnormality_Of_The_Cardiovascular_System
BACE1,Regulatory T (Treg) cell,0.009303832,Abnormality_Of_The_Cardiovascular_System
BACE1,CD1C-CD141- dendritic cell,0.001343842,Abnormality_Of_The_Cardiovascular_System
BACE1,Smooth muscle cell,0.000339694,Abnormality_Of_The_Cardiovascular_System
SCN2B,T cell,0.011559589,Abnormality_Of_The_Cardiovascular_System
SCN2B,CD4+ T cell,0.010196747,Abnormality_Of_The_Cardiovascular_System
SCN2B,Neutrophil,0.010802756,Abnormality_Of_The_Cardiovascular_System
SCN2B,CD8+ T cell,0.006706951,Abnormality_Of_The_Cardiovascular_System
SCN2B,Natural killer cell,0.012467109,Abnormality_Of_The_Cardiovascular_System
SCN2B,Activated CD4+ T cell,0.003053588,Abnormality_Of_The_Cardiovascular_System
SCN2B,Naive CD4+ T cell,0.006402851,Abnormality_Of_The_Cardiovascular_System
SCN2B,Naive CD8+ T cell,0.017143884,Abnormality_Of_The_Cardiovascular_System
SCN2B,Memory CD4+ T cell,0.002596079,Abnormality_Of_The_Cardiovascular_System
SCN2B,Regulatory T(Treg) cell,0.005794728,Abnormality_Of_The_Cardiovascular_System
SCN2B,Natural killer T(NKT) cell,0.001985776,Abnormality_Of_The_Cardiovascular_System
SCN2B,Effector memory CD8+ T cell,0.001680501,Abnormality_Of_The_Cardiovascular_System
SCN2B,Effector CD8+ T cell,0.001527832,Abnormality_Of_The_Cardiovascular_System
SCN2B,Effector CD4+ T cell,0.001833149,Abnormality_Of_The_Cardiovascular_System
SCN2B,CD4 T cell,0.000305732,Abnormality_Of_The_Cardiovascular_System
SCN2B,CD8 T cell,0.000611382,Abnormality_Of_The_Cardiovascular_System
SCN2B,T helper(Th) cell,0.001833149,Abnormality_Of_The_Cardiovascular_System
SCN2B,Memory CD8+ T cell,0.002290969,Abnormality_Of_The_Cardiovascular_System
SCN2B,Gamma delta(γδ) T cell,0.002901106,Abnormality_Of_The_Cardiovascular_System
SCN2B,CD4+ recently activated effector memory or effector T cell (CTL),0.001833149,Abnormality_Of_The_Cardiovascular_System
SCN2B,CD8+ mucosal-associated invariant T cell(CD8+ MAIT),0.001527832,Abnormality_Of_The_Cardiovascular_System
SCN2B,CD8+ recently activated effector memory or effector T cell (CTL),0.002138383,Abnormality_Of_The_Cardiovascular_System
SCN2B,Exhausted CD8+ T cell,0.0010697,Abnormality_Of_The_Cardiovascular_System
SCN2B,Exhausted CD4+ T cell,0.0010697,Abnormality_Of_The_Cardiovascular_System
SCN2B,Regulatory CD4+ T cell,0.0010697,Abnormality_Of_The_Cardiovascular_System
SCN2B,Activated CD8+ T cell,0.001222431,Abnormality_Of_The_Cardiovascular_System
